ID,homo_lumo_gap_ev,final_single_point_energy_hartree,homo_energy_ev,lumo_energy_ev,chemical_hardness_eta_ev,electrophilicity_index_omega_ev,dipole_moment_magnitude_debye,electronegativity_chi_ev
DB06159,0.7684,-5027.06757097,-4.5916,-3.8232,0.3842,23.03775997,32.78003966,4.2074
DB06188,2.8353,-5634.22232577,-5.0577,-2.2224,1.41765,4.67321412,38.46833503,3.64005
DB06191,2.4994,-5393.84588565,-4.5747,-2.0753,1.2497,4.42331159,32.37882507,3.325
DB06229,2.8316,-5040.43069848,-4.8676,-2.036,1.4158,4.20784123,31.82679531,3.4518
DB06234,3.7229,-5610.17765989,-4.8576,-1.1347,1.86145,2.41126939,30.78399269,2.99615
DB06240,2.395,-5782.68164207,-4.9451,-2.5501,1.1975,5.86409426,41.3417139,3.7476
DB06252,3.2278,-4728.48069051,-4.9029,-1.6751,1.6139,3.35136037,20.09496086,3.289
DB06257,3.9055,-4609.33078108,-5.0722,-1.1667,1.95275,2.49160627,42.67061746,3.11945
DB06393,2.8395,-4923.66813274,-4.5733,-1.7338,1.41975,3.50233407,40.42018993,3.15355
DB06397,2.9894,-4592.36747698,-5.0478,-2.0584,1.4947,4.2230948,22.58513305,3.5531
DB06433,3.6006,-4594.95429,-5.0553,-1.4547,1.8003,2.94257207,34.03518256,3.255
DB06471,3.0947,-4770.59830299,-5.016,-1.9213,1.54735,3.88778648,31.03655445,3.46865
DB06478,1.4265,-4858.46136774,-4.8858,-3.4593,0.71325,12.20481844,18.26140511,4.17255
DB06479,3.4549,-4671.20779039,-5.0275,-1.5726,1.72745,3.15214044,32.18387816,3.30005
DB06485,2.6907,-4699.41180459,-5.0496,-2.3589,1.34535,5.09959046,35.98009267,3.70425
DB06485,29.8043,-296.56640053,-23.8628,5.9415,14.90215,2.69401558,0.0,8.96065
DB06490,3.2698,-5329.73777464,-4.3649,-1.0951,1.6349,2.27931372,30.06728768,2.73
DB06504,2.5694,-4474.36965011,-4.98,-2.4106,1.2847,5.31456452,21.94924699,3.6953
DB06505,3.2731,-5678.4988718,-4.9298,-1.6567,1.63655,3.31352405,16.8848347,3.29325
DB06529,2.0534,-4645.00506387,-4.978,-2.9246,1.0267,7.60337571,15.82213233,3.9513
DB06555,3.4728,-5087.91982967,-4.7254,-1.2526,1.7364,2.57259877,19.20833815,2.989
DB06587,2.6168,-6164.47657874,-4.398,-1.7812,1.3084,3.64782489,47.76960301,3.0896
DB06595,1.4049,-5511.94238788,-4.883,-3.4781,0.70245,12.44003011,12.7128622,4.18055
DB06605,2.7858,-5183.93726667,-4.9413,-2.1555,1.3929,4.51975826,19.07709079,3.5484
DB06616,2.1096,-6069.43492763,-4.4822,-2.3726,1.0548,5.56838773,28.9615059,3.4274
DB06618,3.3092,-4797.15428612,-4.3726,-1.0634,1.6546,2.23241992,40.07949433,2.718
DB06623,3.1999,-4692.80908787,-4.4235,-1.2236,1.59995,2.49146367,23.80254138,2.82355
DB06625,2.2587,-4718.82509543,-4.9014,-2.6427,1.12935,6.29935857,33.20927646,3.77205
DB06640,3.2244,-5334.38188814,-4.9723,-1.7479,1.6122,3.50151098,26.35131976,3.3601
DB06645,3.7873,-5402.23269201,-4.8675,-1.0802,1.89365,2.33511573,31.15865722,2.97385
DB06666,2.9327,-5557.80849025,-5.0531,-2.1204,1.46635,4.38666606,32.25493621,3.58675
DB06721,1.1819,-5150.78395214,-4.495,-3.3131,0.59095,12.89585109,33.06656605,3.90405
DB06735,2.6343,-5239.28392559,-4.7225,-2.0882,1.31715,4.40208352,28.07017382,3.40535
DB06764,3.8525,-4256.19416735,-4.9401,-1.0876,1.92625,2.35776556,26.20014579,3.01385
DB06771,2.6693,-5328.16791831,-4.9117,-2.2424,1.33465,4.79349893,28.54162191,3.57705
DB06803,1.5909,-5472.57096668,-5.0144,-3.4235,0.79545,11.18834565,24.67876676,4.21895
DB06808,1.8031,-5232.2763808,-4.3323,-2.5292,0.90155,6.5276721,38.65621941,3.43075
DB06852,2.572,-5340.4875748,-4.7393,-2.1673,1.286,4.63657888,18.66984887,3.4533
DB06872,3.0691,-4954.06052596,-5.0666,-1.9975,1.53455,4.06483243,30.10944928,3.53205
DB06882,2.7387,-4921.36791205,-4.4954,-1.7567,1.36935,3.56818513,25.89966537,3.12605
DB06888,1.9796,-4991.99852183,-4.8408,-2.8612,0.9898,7.49151394,17.69750952,3.851
DB06896,2.7008,-5248.25226089,-5.0271,-2.3263,1.3504,5.00522915,14.72652384,3.6767
DB06897,2.4744,-5306.12116101,-4.9858,-2.5114,1.2372,5.67895327,18.44375918,3.7486
DB06898,3.5005,-4438.54061272,-4.9339,-1.4334,1.75025,2.89547988,22.99266417,3.18365
DB06907,2.4224,-5380.16571825,-4.948,-2.5256,1.2112,5.76439657,29.09534035,3.7368
DB06916,3.3306,-5048.53892313,-4.916,-1.5854,1.6653,3.17271677,48.21167729,3.2507
DB06920,2.8395,-5649.32481258,-4.9282,-2.0887,1.41975,4.33499609,19.64012954,3.50845
DB06925,2.6372,-5122.12640211,-4.9927,-2.3555,1.3186,5.11869058,27.23419052,3.6741
DB06932,2.6361,-4745.94349207,-4.7249,-2.0888,1.31805,4.40295396,25.24379497,3.40685
DB06935,2.5622,-4492.04802638,-5.0006,-2.4384,1.2811,5.39953175,37.02727656,3.7195
