Compound,Pose,CNNscore,CNNaffinity,CNN_VS
DB01396,Pose_1,0.918389142,7.76265955,7.129142243762606
DB11544,Pose_1,0.895431757,7.82130575,7.0034455497567025
DB12832,Pose_1,0.886153698,7.30272436,6.471336197088683
DB17816,Pose_1,0.887164891,7.24295378,6.425694300751737
DB11423,Pose_1,0.828453839,7.62252235,6.314907903720801
DB12130,Pose_1,0.913141489,6.90481186,6.30507018310526
DB07255,Pose_1,0.857319951,7.24536467,6.211595683861531
DB16108,Pose_1,0.883218765,7.02069616,6.200810591875442
DB08365,Pose_1,0.908411503,6.7975173,6.174942907161501
DB04643,Pose_1,0.906953573,6.80307817,6.170076053679802
DB04724,Pose_1,0.844966352,7.26185083,6.1360196045932724
DB11432,Pose_2,0.732361197,8.3671751,6.127794371744596
DB11963,Pose_1,0.810139298,7.50996637,6.084118882995408
DB14664,Pose_1,0.843707502,7.21101904,6.083990861112838
DB04591,Pose_1,0.895777225,6.79141855,6.083598062532524
DB18967,Pose_1,0.864993393,7.02782297,6.0790204362236375
DB16054,Pose_1,0.896370411,6.77607155,6.073870040238908
DB00845,Pose_1,0.814563453,7.42366743,6.047048175704436
DB11708,Pose_1,0.879824042,6.84879494,6.025734446939947
DB14821,Pose_1,0.899871647,6.68520021,6.015822123497445
DB14632,Pose_1,0.850467145,7.07202005,6.014520701306257
DB01933,Pose_1,0.888540924,6.75051117,5.998105432464121
DB06188,Pose_1,0.823526978,7.26255989,5.980913998755712
DB08788,Pose_1,0.866552472,6.89874649,5.978125824610823
DB18390,Pose_1,0.815478563,7.30889273,5.960245340581547
DB14634,Pose_1,0.884298801,6.73977661,5.959976375230845
DB12638,Pose_1,0.86527431,6.86746407,5.9422402346190415
DB00966,Pose_1,0.79052937,7.51010513,5.936958677052669
DB04421,Pose_1,0.943409741,6.28764868,5.931829012697792
DB05772,Pose_1,0.893049359,6.6401763,5.930005188361992
DB00769,Pose_1,0.873179138,6.78995323,5.928845508431716
DB06471,Pose_1,0.886211097,6.68130493,5.921046571406808
DB07877,Pose_1,0.866498232,6.81832075,5.908062875083914
DB12241,Pose_1,0.85585016,6.89765739,5.903361180856683
DB15954,Pose_1,0.878665328,6.71838379,5.903210896470233
DB16935,Pose_1,0.880241215,6.70416212,5.901279810065776
DB16457,Pose_1,0.880241215,6.70416212,5.901279810065776
DB09047,Pose_1,0.888416469,6.64001036,5.899094558154619
DB07152,Pose_1,0.834585786,7.06651926,5.897616530891238
DB12549,Pose_1,0.890436947,6.59021616,5.868171957580463
DB12041,Pose_1,0.906344712,6.47259951,5.866406338782292
DB15675,Pose_1,0.851231158,6.88757086,5.862914918964856
DB02495,Pose_1,0.936075568,6.25676966,5.856809213329667
DB18409,Pose_1,0.816913664,7.16789246,5.8555492926565735
DB07840,Pose_1,0.86822021,6.73976469,5.851599914502385
DB09054,Pose_1,0.798077703,7.33205414,5.851548926322841
DB05288,Pose_1,0.896234512,6.52212334,5.84535202882871
DB01806,Pose_1,0.809136868,7.21103334,5.834712931771179
DB15399,Pose_1,0.764222026,7.59262896,5.802454286477473
DB07415,Pose_1,0.840691984,6.89834595,5.7993841430238655
DB16051,Pose_1,0.842419624,6.87162542,5.7887921025852425
DB13728,Pose_1,0.848955989,6.80996466,5.781360282985349
DB04608,Pose_1,0.883870184,6.54090071,5.78130711407343
DB07065,Pose_1,0.811125994,7.11943102,5.774755562811934
DB14646,Pose_1,0.905859649,6.37268686,5.772759882186512
DB11950,Pose_1,0.924951792,6.23632574,5.768300668708726
DB13401,Pose_1,0.790439248,7.29017401,5.762439662253545
DB11378,Pose_1,0.879163027,6.54945517,5.758038832457999
DB13240,Pose_2,0.856893182,6.71898508,5.757452505011725
DB19031,Pose_1,0.874911189,6.57767344,5.75488009024412
DB19088,Pose_1,0.755364895,7.61091757,5.749019951116705
DB05410,Pose_1,0.842097461,6.82498598,5.747303365118597
DB17143,Pose_1,0.823534727,6.97836685,5.7469274387206
DB18749,Pose_1,0.861227155,6.6676712,5.742379498051436
DB12359,Pose_1,0.945657492,6.06562614,5.736004802962041
DB14970,Pose_1,0.785401285,7.29139709,5.72667264393126
DB03072,Pose_1,0.883853793,6.47267723,5.720900320600234
DB16898,Pose_1,0.875349224,6.53509903,5.720493864673653
DB00582,Pose_1,0.873349071,6.5480504,5.718733733701178
DB15242,Pose_1,0.746301055,7.65762377,5.7148926983440775
DB00764,Pose_1,0.876444101,6.50832367,5.704181887970171
DB07548,Pose_1,0.906752288,6.28811121,5.701759226865948
DB01268,Pose_1,0.849981546,6.69255209,5.688545772143732
DB14581,Pose_1,0.811791241,7.00552511,5.6870239229035615
DB18708,Pose_1,0.846291304,6.70851851,5.677360877736037
DB08674,Pose_1,0.84091419,6.75075579,5.676806337035661
DB06587,Pose_1,0.726808906,7.79911423,5.6684656812753325
DB11911,Pose_1,0.839057565,6.75382423,5.6668473128618
DB07297,Pose_1,0.888253868,6.37792253,5.665214357076846
DB01301,Pose_1,0.868156552,6.52506447,5.664777471852908
DB01380,Pose_1,0.853878856,6.63354492,5.664243747514212
DB16204,Pose_1,0.910728514,6.21689272,5.661901468583018
DB07550,Pose_1,0.899895132,6.29154396,5.6617297823680035
DB06159,Pose_1,0.861397266,6.57201719,5.661117639571003
DB12706,Pose_1,0.769813716,7.34889174,5.657277658851106
DB02277,Pose_1,0.902695179,6.2660656,5.656347208417742
DB07042,Pose_1,0.796489418,7.10028458,5.655301532758575
DB04785,Pose_1,0.798480988,7.08050394,5.653647781549092
DB12002,Pose_1,0.788840473,7.16070318,5.648652483523804
DB18400,Pose_1,0.889893115,6.34554529,5.6468570644916785
DB06888,Pose_1,0.830200851,6.79690313,5.642794762690563
DB17865,Pose_1,0.730684102,7.72254419,5.642740266625467
DB06234,Pose_1,0.845193505,6.67518234,5.641820758458702
DB15173,Pose_1,0.893883765,6.31053925,5.640888583970276
DB17384,Pose_1,0.834480464,6.7582221,5.639604313823054
DB14152,Pose_1,0.799854994,7.04996872,5.638952688235788
DB07180,Pose_1,0.855161786,6.58935785,5.63496702759912
DB12670,Pose_1,0.846431553,6.65441704,5.632508549476863
DB19125,Pose_1,0.798481941,7.05068445,5.629844205014518
DB04006,Pose_1,0.848897815,6.62268639,5.621984005901238
DB17051,Pose_1,0.820852876,6.8468585,5.6202634912900455
DB08683,Pose_1,0.820852876,6.8468585,5.6202634912900455
DB08392,Pose_1,0.886689067,6.33782768,5.6196825123859755
DB18106,Pose_2,0.826459289,6.78990507,5.611580116529695
DB08005,Pose_1,0.822514474,6.82190132,5.611112575899706
DB07935,Pose_1,0.877104223,6.392591,5.606968562011794
DB06393,Pose_1,0.924366951,6.06449175,5.605815748312154
