molecule_name,delta_g_inter,dg_inter_sum,dg_inter_max,hbond_percent,moderate_attr_percent,vdw_percent,clash_percent,hbond_strength,clash_strength,favorable_strength,n_interaction_points,n_ligand_atoms
DB00140_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.40797,4.604838,0.086136,13.270142,9.241706,70.14218,7.345972,1.029653,0.436873,2.536221,422,49
DB00152_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.294873,2.933568,0.034743,3.560831,5.04451,89.020772,2.373887,0.158883,0.088103,1.721966,337,36
DB00197_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.989052,3.236169,0.034044,2.116402,5.555556,90.21164,2.116402,0.066193,0.070575,1.779931,378,58
DB00199_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.03838,1.606858,0.025954,0.0,4.411765,93.627451,1.960784,0.0,0.024306,0.992638,204,118
DB00203_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.064523,4.392566,0.029853,1.744186,3.488372,94.186047,0.581395,0.052835,0.021733,2.474055,516,63
DB00204_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.037335,4.292422,0.050647,7.430998,4.03397,84.92569,3.609342,0.53642,0.193554,2.409498,471,56
DB00224_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.282138,2.797294,0.042836,1.801802,6.006006,91.591592,0.600601,0.054625,0.017764,1.70842,333,92
DB00232_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.040445,4.224779,0.063554,7.373272,4.608295,84.562212,3.456221,0.541568,0.178934,2.231801,434,31
DB00238_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.033343,2.225295,0.033705,2.61194,5.223881,90.671642,1.492537,0.041904,0.026562,1.221934,268,34
DB00245_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.786512,2.139813,0.020632,0.0,1.798561,97.841727,0.359712,0.0,0.008359,1.341225,278,48
DB00246_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,5.118426,4.985207,0.051702,5.244123,5.786618,85.352622,3.616637,0.48508,0.272383,2.748501,553,49
DB00249_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.161387,3.400802,0.080872,8.426966,7.865169,80.05618,3.651685,0.442822,0.18844,2.010003,356,28
DB00261_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.873288,2.691368,0.076672,9.608541,3.202847,82.562278,4.626335,0.56529,0.211617,1.492535,281,23
DB00270_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.565471,1.985355,0.040205,4.385965,4.824561,89.473684,1.315789,0.102394,0.015884,1.300377,228,48
DB00271_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.188499,2.868021,0.090896,6.774194,2.258065,87.419355,3.548387,0.377302,0.15445,1.488513,310,31
DB00276_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.970223,3.840563,0.043981,4.028436,7.582938,86.492891,1.895735,0.163223,0.062145,2.108643,422,47
DB00297_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.540252,1.929679,0.044251,11.0,5.5,82.5,1.0,0.397344,0.023736,1.323143,200,49
DB00299_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.273803,3.085342,0.035292,7.64526,9.480122,77.981651,4.892966,0.303561,0.131519,1.684766,327,33
DB00301_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.657762,3.361337,0.077827,7.54717,5.121294,83.827493,3.504043,0.433255,0.144892,1.965488,371,47
DB00304_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.606944,1.883881,0.05822,8.018868,2.830189,86.792453,2.358491,0.302401,0.093409,1.091622,212,53
DB00305_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.181594,3.266126,0.056198,12.232416,10.703364,74.006116,3.058104,0.57999,0.117082,2.05915,327,42
DB00334_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.942194,3.728624,0.053128,7.380952,4.285714,86.666667,1.666667,0.464032,0.072316,2.147107,420,42
DB00346_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,3.37557,2.765976,0.03893,4.590164,6.229508,88.196721,0.983607,0.115775,0.022893,1.698373,305,55
DB00352_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.574015,2.728186,0.055027,12.286689,5.802048,78.498294,3.412969,0.515499,0.107178,1.515167,293,16
DB00353_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.80011,2.264511,0.059266,3.886926,2.826855,93.286219,0.0,0.187237,0.0,1.269183,283,50
DB00354_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,4.324661,3.450179,0.02371,1.157407,4.166667,94.212963,0.462963,0.033133,0.012147,2.208563,432,64
DB00365_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.275539,2.844622,0.025729,1.142857,3.428571,94.285714,1.142857,0.028938,0.022361,1.41866,350,48
DB00374_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.840271,3.358962,0.099429,7.458564,4.972376,85.911602,1.657459,0.51067,0.145888,2.06739,362,62
DB00377_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.800993,2.530337,0.026606,2.24359,5.128205,90.064103,2.564103,0.046664,0.08244,1.364819,312,46
DB00387_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.865693,2.256786,0.060571,7.755102,4.489796,84.081633,3.673469,0.29411,0.102628,1.505075,245,50
DB00402_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,4.080756,3.865597,0.03127,2.752294,6.192661,89.220183,1.834862,0.088684,0.074213,2.261663,436,44
DB00405_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.288652,2.869043,0.078835,5.610561,6.60066,80.858086,6.930693,0.378476,0.261711,1.693275,303,38
DB00422_pose5_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.010469,1.479373,0.02839,0.537634,3.225806,95.16129,1.075269,0.009686,0.014086,0.862114,186,36
DB00425_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.97364,2.186024,0.034523,1.779359,1.423488,96.797153,0.0,0.033192,0.0,1.344011,281,44
DB00433_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.726138,2.67002,0.030546,3.021148,2.416918,94.561934,0.0,0.066802,0.0,1.648209,331,49
DB00440_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.001408,2.378455,0.02922,1.041667,5.902778,92.708333,0.347222,0.020573,0.008269,1.194554,288,39
DB00442_pose2_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.274365,2.368752,0.066851,14.798206,12.107623,71.748879,1.345291,0.581658,0.063861,1.618111,223,35
DB00449_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.624081,2.245734,0.066482,10.38961,6.493506,82.251082,0.865801,0.331803,0.039301,1.33639,231,54
DB00450_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.479442,2.77903,0.056546,5.43131,5.111821,88.178914,1.277955,0.264825,0.042329,1.644113,313,50
DB00477_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.950536,2.138609,0.023228,0.0,1.811594,97.463768,0.724638,0.0,0.014474,1.313252,276,40
DB00478_pose9_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.384153,2.296393,0.044975,8.661417,5.11811,82.283465,3.937008,0.384487,0.145655,1.339087,254,34
DB00480_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,2.938362,3.039987,0.061569,14.041096,12.328767,72.260274,1.369863,0.519062,0.065607,1.960872,292,32
DB00481_bestCNNscore_pose1__All_ACE_NME__OPTFREQ_ALPB,3.206521,1.996675,0.044195,4.385965,3.070175,90.350877,2.192982,0.189121,0.081432,1.118611,228,61
DB00484_pose3_bestCNN_VS_pose1__All_ACE_NME__OPTFREQ_ALPB,2.579801,2.527027,0.074684,6.993007,5.594406,86.713287,0.699301,0.32202,0.03444,1.368225,286,27
